"Freq [GHz]","dB(GMAX) []","dB(MSG) []","dB(NF) []"
0.1,21.4632223718697,27.2830291654971,31.4929039874205
0.107,21.4589876742894,27.0405670687726,30.3413633891807
0.114,21.4463835957929,26.7976401427976,29.2665235739392
0.121,21.4295846704305,26.5531686348401,28.2594146680863
0.128,21.425583643058,26.3040129294768,27.3126357666033
0.135,21.4351287173289,26.0512519881088,26.4198962208422
0.142,21.4596355902001,25.7974858355772,25.5758765755955
0.149,21.5164386543648,25.5461417103764,24.7760733544982
0.156,21.5343869722303,25.3697220259072,24.014462658666
0.163,21.5329601225091,25.2031722840765,23.2893471186935
0.17,21.5176582735358,25.0332645425803,22.5980983115016
0.177,21.4882985156344,24.8597620500033,21.9381161731555
0.184,21.4444788348849,24.6824064258281,21.3071082990001
0.191,21.3855808683258,24.5009147976007,20.7030446429075
0.198,21.3107717423741,24.3149764554632,20.1241205846386
0.205,21.275606304782,24.1630771930045,19.5668527816718
0.212,21.2511070469591,24.0240133605352,19.0307277215783
0.219,21.2152087550724,23.8825082519142,18.5151359961782
0.226,21.167430316862,23.7384198385308,18.0188751571425
0.233,21.1071837647977,23.5915951607608,17.5408542876238
0.24,21.0337863579551,23.4418691269413,17.080080970958
0.247,20.9464779828601,23.2890631446811,16.635650180971
0.254,20.8744614899582,23.1650857355357,16.2058639636971
0.261,20.8127162797799,23.0628953220395,15.7900848856738
0.268,20.7392496590447,22.9586336019111,15.3882303840117
0.275,20.6537825696017,22.8522059653246,14.9996443714775
0.282,20.5560842916002,22.7435112249325,14.6237204290403
0.289,20.4459835763313,22.6324409912249,14.2598969807077
0.296,20.3233745992098,22.5188789719355,13.9076530618121
0.303,20.2148976532768,22.4172479511314,13.5655574432353
0.31,20.1325221769986,22.3334122568656,13.2327783043051
0.317,20.0420210498547,22.2483752584501,12.9101250818181
0.324,19.9435619300585,22.1620942878854,12.5971963554237
0.331,19.837335616594,22.0745244367994,12.2936157304922
0.338,19.7235501732137,21.9856183960321,11.9990296971898
0.345,19.6024243299993,21.8953262806096,11.7131057106489
0.352,19.4844232689519,21.8038866650913,11.4355216005594
0.359,19.3851273912604,21.7117362668056,11.1659578844628
0.366,19.2789928790146,21.618122508713,10.904150788823
0.373,19.1660457379755,21.5229879732468,10.6498349922722
0.38,19.0463211124855,21.4262719009971,10.4027589903036
0.387,18.9198604835612,21.3279099250452,10.1626840541773
0.394,18.7867084841064,21.2278337783804,9.92938328707284
0.401,18.6531264280785,21.1308955184923,9.70242699335981
0.408,18.5517872562247,21.0622594959101,9.48053253161854
0.415,18.4466475873202,20.9928033067619,9.26477976241198
0.422,18.3378226498782,20.9225031167044,9.05498052731541
0.429,18.2254191443608,20.8513340660445,8.85095485540208
0.436,18.1095345676155,20.7792702098358,8.65253040964789
0.443,17.990256708703,20.7062844535401,8.45954198115143
0.45,17.867663296127,20.632348483849,8.27183102695674
0.457,17.7574462183769,20.5574923384807,8.09806227009286
0.464,17.6438039482026,20.4816650812819,7.92813486434925
0.471,17.5267720006942,20.4048359034335,7.76193885454957
0.478,17.4063797654847,20.3269725489833,7.59936963011153
0.485,17.2826501295908,20.2480412223908,7.4403276059811
0.492,17.1555991412067,20.1680064885733,7.28471792979125
0.499,17.0252357082749,20.0868311647098,7.13245021330543
0.506,16.9352460003842,20.0291938913833,6.98257550662098
0.513,16.8504455997072,19.9750680806001,6.83573762480239
0.52,16.7636713605351,19.920366689633,6.69200212803698
0.527,16.6749453501899,19.865076078723,6.55129374881284
0.534,16.5842866388344,19.809182121593,6.41354055652521
0.541,16.4917112858238,19.7526701820143,6.27867378372268
0.548,16.3972323300451,19.6955250889458,6.14662766583596
0.555,16.3008597830772,19.6377311101387,6.01733929346464
0.562,16.2026006240095,19.579271924093,5.89074847639025
0.569,16.1024587947761,19.5201305902404,5.76679761856936
0.576,16.0004351948948,19.4602895172161,5.64543160343918
0.583,15.8965276745394,19.3997304290734,5.52659768894023
0.59,15.7907310249139,19.3384343292753,5.41024541172879
0.597,15.6830369649393,19.2763814622884,5.29632650011501
0.604,15.592383829618,19.2212293360777,5.18457953205406
0.611,15.5145404513542,19.1713322540047,5.07502317388943
0.618,15.4354378332404,19.1210014863303,4.96777827112536
0.625,15.3550788285698,19.0702279296086,4.86280344370557
0.632,15.2734649307615,19.0190021984306,4.76005905576428
0.639,15.1905962778305,18.9673146136143,4.65950715745412
0.646,15.106471655168,18.9151551897701,4.56111143194806
0.653,15.0210884965202,18.8625136222011,4.46483714734039
0.66,14.9344428830441,18.8093792730965,4.37065111319635
0.667,14.8465295403202,18.7557411569702,4.27852164152264
0.674,14.7573418331936,18.7015879252957,4.18841851195194
0.681,14.6668717583139,18.6469078502824,4.10031294095437
0.688,14.5751099342383,18.5916888077372,4.01417755490736
0.695,14.4820455889555,18.5359182589455,3.92998636687268
0.702,14.3944852691264,18.4824642131011,3.84764872712312
0.709,14.32298334919,18.4358143582052,3.76704872230083
0.716,14.2506781539061,18.3888584750185,3.68833177506195
0.723,14.177568726711,18.3415907703316,3.61147548745946
0.73,14.1036534409037,18.2940052998457,3.53645862706082
0.737,14.0289300037621,18.2460959627536,3.46326111016711
0.744,13.9533954596102,18.1978564960769,3.39186398694012
0.751,13.8770461918332,18.1492804687463,3.32224942828664
0.758,13.799877923829,18.1003612754101,3.25440071435153
0.765,13.721885718888,18.0510921299568,3.18830222447278
0.772,13.6430639789858,18.001466058735,3.1239394284525
0.779,13.5634064424738,17.9514758934537,3.06129887899766
0.786,13.4829061806476,17.901114263745,3.00036820518321
0.793,13.4015555931715,17.8503735893689,2.94113610678884
0.8,13.3193464023331,17.7992460720411,2.8835923493574
0.807,13.2553904183781,17.756552402903,2.82750851346195
0.814,13.1907753424098,17.7136029919223,2.77307695538584
0.821,13.1254972532498,17.6703934149267,2.72028886540103
0.828,13.0595518847319,17.6269191424655,2.66913638881575
0.835,12.9929346237542,17.5831755363656,2.61961261675845
0.842,12.9256405078446,17.5391578461471,2.57171157636844
0.849,12.8576642222388,17.4948612052906,2.52542822018329
0.856,12.7890000964631,17.450280627348,2.48075841450357
0.863,12.7196421004189,17.4054110018913,2.43769892650664
0.87,12.6495838399569,17.3602470902882,2.39624740987127
0.877,12.5788185519356,17.3147835212979,2.35640238866543
0.884,12.5073390987496,17.2690147864767,2.31816323923962
0.891,12.4351379623174,17.2229352353833,2.28153016985872
0.898,12.3622072375134,17.1765390705742,2.24650419779629
0.905,12.3034414313088,17.1360900441222,2.22303159775107
0.912,12.2501400852631,17.0979471381736,2.20471765231823
0.919,12.196380679868,17.0596205199542,2.18750944420131
0.926,12.1421606075219,17.0211073556437,2.17140324446098
0.933,12.0874770827007,16.9824047544247,2.15639560247889
0.94,12.0323271410833,16.9435097668782,2.14248331890134
0.947,11.9767076384712,16.9044193833233,2.12966341848081
0.954,11.9206152495029,16.8651305320993,2.11793312281827
0.961,11.8640464661635,16.8256400777852,2.10728982301395
0.968,11.8069975960861,16.7859448193568,2.0977310522386
0.975,11.7494647606458,16.7460414882766,2.08925445824207
0.982,11.6914438928434,16.7059267465152,2.08185777582064
0.989,11.6329307349762,16.6655971844993,2.07553879926947
0.996,11.5739208360933,16.6250493189848,2.07029535485084
1.003,11.5177182192612,16.5868501960415,2.06606571911394
1.01,11.4655231341032,16.5519006366306,2.06281683716482
1.017,11.4129619889484,16.516789691029,2.06062075912625
1.024,11.3600322343966,16.4815150833368,2.05947427927069
1.031,11.3067311936364,16.4460744947911,2.05937407464525
1.038,11.2530560616529,16.4104655626469,2.06031667788174
